Title,Location,Price,Area,Carpet Area,Status,Floor,Transaction,Furnishing,Facing,Overlooking,Ownership,Car Parking,Bathroom,Balcony
4 BHK Builder Floor for Sale in New Friends Colony New Delhi,N/A,竄ｹ7 Cr,3500 sqft,3500 sqft,Ready to Move,2 out of 3,Resale,Unfurnished,East,Garden/Park,N/A,N/A,5,Yes
"3 BHK Builder Floor for Sale in Kishangarh, Vasant Kunj New Delhi",N/A,竄ｹ1.60 Cr,1300 sqft,1300 sqft,Ready to Move,4 out of 5,New Property,Semi-Furnished,North,Main Road,Freehold,1 Covered,3,Yes
4 BHK Builder Floor for Sale in Greater Kailash 2 New Delhi,N/A,竄ｹ14.25 Cr,560 sqyrd,N/A,Ready to Move,Ground out of 4,New Property,Semi-Furnished,North,Garden/Park,Freehold,5 Covered,5,Yes
3 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,N/A,竄ｹ7.50 Cr,200 sqyrd,N/A,Ready to Move,Ground out of 4,New Property,Semi-Furnished,North,Garden/Park,Freehold,2 Covered,3,Yes
4 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,N/A,竄ｹ6.50 Cr,2100 sqft,2100 sqft,Ready to Move,Ground out of 5,New Property,Semi-Furnished,North,Garden/Park,Freehold,2 Covered,4,Yes
2 BHK House for Sale in Munirka New Delhi,N/A,竄ｹ1.58 Cr,1150 sqft,1150 sqft,Ready to Move,N/A,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,N/A,2,Yes
4 BHK Builder Floor for Sale in Vasant Vihar New Delhi,N/A,竄ｹ8.75 Cr,400 sqyrd,400 sqyrd,Ready to Move,2 out of 3,Resale,Unfurnished,South - East,Main Road,Freehold,2 Covered,4,Yes
> 10 BHK Villa for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ40 Cr,500 sqyrd,500 sqyrd,Ready to Move,N/A,Resale,Semi-Furnished,N/A,Garden/Park,Freehold,"2 Covered,",> 10,Yes
"3 BHK Apartment for Sale in Moti Nagar, Kirti Nagar New Delhi",N/A,竄ｹ2.80 Cr,1100 sqft,1100 sqft,Ready to Move,17 out of 24,Resale,Semi-Furnished,North - East,"Garden/Park, Pool, Main Road",Freehold,1 Covered,2,Yes
4 BHK Builder Floor for Sale in Vasant Vihar New Delhi,N/A,竄ｹ12 Cr,3300 sqft,3300 sqft,Ready to Move,5 out of 5,New Property,Semi-Furnished,South,N/A,Freehold,2 Covered,5,Yes
4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ7 Cr,2000 sqft,2000 sqft,Ready to Move,1 out of 4,New Property,Unfurnished,North - East,N/A,Freehold,2 Covered,4,N/A
5 BHK Apartment for Sale in Sector 10 Dwarka New Delhi,N/A,竄ｹ3.25 Cr,2325 sqft,2325 sqft,Ready to Move,7 out of 7,Resale,Furnished,North - East,"Garden/Park, Main Road",Freehold,2 Open,4,Yes
4 BHK Builder Floor for Sale in Defence Colony New Delhi,N/A,竄ｹ13.25 Cr,2300 sqft,2300 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,Garden/Park,Freehold,"3 Covered,",4,Yes
3 BHK Apartment for Sale in Dwarka New Delhi,N/A,竄ｹ2.65 Cr,1300 sqft,1300 sqft,Ready to Move,2 out of 9,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
3 BHK Apartment for Sale in Sector 12 Dwarka New Delhi,N/A,竄ｹ2.92 Cr,1400 sqft,1400 sqft,Ready to Move,4 out of 7,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,1 Covered,2,Yes
4 BHK Apartment for Sale in Sector 6 Dwarka New Delhi,N/A,竄ｹ3.88 Cr,2400 sqft,2400 sqft,Ready to Move,4 out of 4,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
"4 BHK Apartment for Sale in Moti Nagar, Kirti Nagar New Delhi",N/A,竄ｹ7.50 Cr,2700 sqft,2700 sqft,Ready to Move,16 out of 23,Resale,Unfurnished,East,"Garden/Park, Main Road",Freehold,"1 Covered,",5,Yes
3 BHK Apartment for Sale in Sector 10 Dwarka New Delhi,N/A,竄ｹ2.45 Cr,1450 sqft,1450 sqft,Ready to Move,1 out of 5,Resale,Furnished,North,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
3 BHK Builder Floor for Sale in Defence Colony New Delhi,N/A,竄ｹ8.75 Cr,2925 sqft,N/A,Ready to Move,2 out of 5,New Property,Semi-Furnished,N/A,"Garden/Park, Main Road",Freehold,1 Covered,4,Yes
4 BHK Apartment for Sale in Sector 4 Dwarka New Delhi,N/A,竄ｹ3.89 Cr,2600 sqft,2600 sqft,Ready to Move,2 out of 9,Resale,Semi-Furnished,North - West,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
4 BHK Builder Floor for Sale in Sector 23 Rohini New Delhi,N/A,竄ｹ4.50 Cr,3500 sqft,3500 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",4,Yes
3 BHK Builder Floor for Sale in Safdarjung Enclave New Delhi,N/A,竄ｹ5.70 Cr,2115 sqft,N/A,Ready to Move,3 out of 4,Resale,Semi-Furnished,North,N/A,Freehold,2 Covered,4,Yes
"3 BHK Apartment for Sale in Moti Nagar, Kirti Nagar New Delhi",N/A,竄ｹ3.40 Cr,1632 sqft,N/A,Ready to Move,6 out of 30,Resale,Semi-Furnished,East,"Pool, Garden/Park, Main Road",Freehold,N/A,3,Yes
4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ14 Cr,4800 sqft,4800 sqft,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,Main Road,Freehold,3 Covered,4,Yes
4 BHK Builder Floor for Sale in Greater Kailash 1 New Delhi,N/A,竄ｹ7.75 Cr,280 sqyrd,280 sqyrd,Ready to Move,1 out of 4,New Property,Semi-Furnished,North - East,Garden/Park,Freehold,2 Covered,4,Yes
4 BHK Apartment for Sale in Dwarka New Delhi,N/A,竄ｹ3.51 Cr,2100 sqft,2100 sqft,Ready to Move,7 out of 10,Resale,Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
3 BHK Apartment for Sale in Dwarka New Delhi,N/A,竄ｹ2.65 Cr,1500 sqft,1500 sqft,Ready to Move,5 out of 9,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",2,Yes
3 BHK Builder Floor for Sale in Saket New Delhi,N/A,竄ｹ3.75 Cr,1600 sqft,1600 sqft,Ready to Move,1 out of 4,Resale,Semi-Furnished,East,"Garden/Park, Main Road",Freehold,N/A,3,Yes
3 BHK Apartment for Sale in Vasant Kunj New Delhi,N/A,竄ｹ2.85 Cr,1600 sqft,1600 sqft,Ready to Move,3 out of 8,Resale,Semi-Furnished,North - East,Garden/Park,Freehold,N/A,2,Yes
3 BHK Builder Floor for Sale in Malviya Nagar New Delhi,N/A,竄ｹ1.75 Cr,1125 sqft,1125 sqft,Ready to Move,2 out of 4,New Property,Semi-Furnished,North - East,Main Road,Freehold,1 Covered,3,Yes
3 BHK Apartment for Sale in Vasant Kunj New Delhi,N/A,竄ｹ3.50 Cr,1530 sqft,1530 sqft,Ready to Move,1 out of 4,Resale,Unfurnished,North,Main Road,Freehold,1 Open,2,Yes
"3 BHK Apartment for Sale in Moti Nagar, Kirti Nagar New Delhi",N/A,竄ｹ2.30 Cr,1550 sqft,1550 sqft,Ready to Move,26 out of 30,Resale,Semi-Furnished,North - East,"Garden/Park, Main Road",Freehold,"1 Covered,",3,Yes
